443,387,444
387,382,444
444,382,445
382,388,445
445,388,446
389,383,447
447,383,439
385,390,442
442,390,448
390,386,448
448,386,443
391,449,388
388,449,446
392,389,450
450,389,447
393,451,391
391,451,449
394,392,452
452,392,450
395,453,393
393,453,451
396,394,454
454,394,452
453,395,455
395,397,455
398,396,456
456,396,454
399,457,397
397,457,455
400,398,458
458,398,456
457,399,459
399,401,459
402,400,460
460,400,458
403,461,401
401,461,459
404,402,462
462,402,460
403,405,461
461,405,463
406,404,464
464,404,462
463,405,465
405,409,465
410,406,466
466,406,464
412,411,467
412,467,413
413,467,468
413,468,407
407,468,469
407,469,408
408,469,470
414,408,470
414,470,471
414,471,415
415,471,472
415,472,416
416,472,473
416,473,417
418,474,409
409,474,465
419,410,475
475,410,466
420,476,411
411,476,477
411,477,467
417,473,478
421,417,478
421,478,479
418,422,474
474,422,480
423,419,481
481,419,475
425,424,482
425,482,420
420,482,476
421,479,426
426,479,483
426,483,427
480,422,484
422,428,484
429,423,485
485,423,481
424,430,486
424,486,482
427,483,487
431,427,487
484,428,488
428,432,488
433,429,489
489,429,485
434,489,485
434,485,489
430,434,490
430,490,486
431,487,491
435,431,491
436,492,432
432,492,488
433,489,437
437,489,434
434,489,493
434,493,490
435,491,494
435,492,438
435,494,492
438,492,436
439,440,495
440,441,495
495,441,496
441,442,496
443,444,497
444,445,497
497,445,498
445,446,498
447,439,499
499,439,495
496,442,500
442,448,500
500,448,501
448,443,501
501,443,502
502,443,497
449,503,446
446,503,498
450,447,504
504,447,499
501,448,505
505,448,501
451,506,449
449,506,503
452,450,507
507,450,504
453,508,451
451,508,506
454,452,509
509,452,507
455,510,453
453,510,508
456,454,511
511,454,509
510,455,512
455,457,512
458,456,513
513,456,511
459,514,457
457,514,512
460,458,515
515,458,513
459,461,514
514,461,516
462,460,517
517,460,515
516,461,518
461,463,518
464,462,519
519,462,517
465,520,463
463,520,518
466,464,521
521,464,519
468,467,522
468,522,469
469,522,523
469,523,470
470,523,524
470,524,471
471,524,525
471,525,472
472,525,526
472,526,473
520,465,527
465,474,527
475,466,528
528,466,521
477,476,529
477,529,467
467,529,530
467,530,522
473,526,531
478,473,531
478,531,532
478,532,479
527,474,533
474,480,533
481,475,534
534,475,528
482,535,476
476,535,536
476,536,529
479,532,537
483,479,537
484,538,480
480,538,533
485,481,539
539,481,534
486,540,482
482,540,535
483,537,541
487,483,541
487,541,542
538,484,543
484,488,543
489,485,544
544,485,539
490,545,486
486,545,540
487,542,491
491,542,546
491,546,543
491,543,546
492,547,488
488,547,543
489,544,493
493,544,548
493,548,490
490,548,545
491,546,494
494,546,549
494,549,492
492,549,547
499,495,550
495,496,550
550,496,551
496,500,551
551,500,552
500,501,552
501,502,553
502,497,553
553,497,554
497,498,554
554,498,555
498,503,555
504,499,556
556,499,550
505,557,501
501,557,552
505,501,557
557,501,553
506,558,503
503,558,555
507,504,559
559,504,556
508,560,506
506,560,558
509,507,561
561,507,559
510,562,508
508,562,560
511,509,563
563,509,561
512,564,510
510,564,562
513,511,565
565,511,563
564,512,566
512,514,566
515,513,567
567,513,565
566,514,568
514,516,568
517,515,569
569,515,567
518,570,516
516,570,568
519,517,571
571,517,569
570,518,572
518,520,572
521,519,573
573,519,571
523,522,574
523,574,524
524,574,575
524,575,525
525,575,576
525,576,526
527,577,520
520,577,572
528,521,578
578,521,573
529,579,530
530,579,580
530,580,522
522,580,581
522,581,574
526,576,582
531,526,582
531,582,583
531,583,532
532,583,584
527,533,577
577,533,585
534,528,586
586,528,578
536,535,587
536,587,529
529,587,579
532,584,537
537,584,588
