90,-50,-115
90,-40,-115
90,60,-115
90,70,-115
90,90,-115
100,-60,-115
100,80,-115
-210,-10,-115
-220,-10,-125
-210,-20,-125
-210,0,-125
-210,30,-115
-220,30,-125
-210,20,-125
-210,40,-125
-200,-10,-115
-200,-20,-125
-200,0,-125
-200,30,-115
-200,20,-125
-200,40,-125
-190,-20,-115
-190,-30,-125
-190,-10,-115
-190,0,-125
-190,20,-115
-190,10,-125
-190,30,-115
-190,40,-125
-180,-20,-115
-180,-30,-125
-180,0,-115
-180,10,-125
-180,40,-115
-180,50,-125
-170,-30,-125
-170,10,-125
-170,50,-125
-160,-30,-125
-160,10,-125
-160,50,-125
-150,-30,-115
-150,-40,-125
-150,50,-115
-150,60,-125
-140,-40,-125
-140,60,-125
-130,-40,-125
-130,60,-125
-120,-40,-125
-120,60,-115
-120,70,-125
-110,-50,-125
-110,70,-125
-100,-50,-125
-100,70,-125
-90,-50,-125
-90,70,-125
-80,-60,-125
-80,80,-125
-70,-60,-125
-70,80,-125
-60,-60,-125
-60,80,-125
-50,-60,-125
-50,80,-125
-40,-70,-125
-40,90,-125
-30,-70,-125
-30,90,-125
-20,-70,-125
-20,90,-125
-10,-70,-125
-10,90,-125
0,-70,-125
0,90,-125
10,-80,-125
10,90,-125
20,-80,-125
20,100,-125
30,-80,-125
30,100,-125
40,-80,-125
40,100,-125
50,-80,-125
50,100,-125
60,-80,-125
60,100,-125
70,-70,-125
70,90,-125
80,-60,-125
80,-30,-125
80,-20,-125
80,-10,-125
80,0,-125
80,10,-125
80,20,-125
80,30,-125
80,40,-125
80,50,-125
80,80,-125
90,-60,-125
90,-50,-125
90,-40,-125
90,60,-125
90,70,-125
90,80,-125
-230,-10,-125
-240,-10,-135
-230,-20,-135
-230,0,-135
-230,30,-125
-240,30,-135
-230,20,-135
-230,40,-135
-220,-20,-125
-220,-30,-135
-220,0,-135
-220,20,-135
-220,40,-125
-220,50,-135
-210,-30,-135
-210,0,-135
-210,10,-135
-210,50,-135
-200,-30,-135
-200,10,-135
-200,50,-135
-190,-40,-135
-190,10,-135
-190,50,-125
-190,60,-135
-180,-40,-135
-180,10,-135
-180,60,-135
-170,-40,-135
-170,60,-135
-160,-40,-135
-160,60,-135
-150,-50,-135
-150,70,-135
-140,-50,-135
-140,70,-135
-130,-50,-135
-130,70,-135
-120,-50,-125
-120,-60,-135
-120,80,-135
-110,-60,-135
-110,80,-135
-100,-60,-135
-100,80,-135
-90,-60,-135
-90,80,-135
-80,-70,-135
-80,80,-135
-70,-70,-135
-70,90,-135
-60,-70,-135
-60,90,-135
-50,-70,-135
-50,90,-135
-40,-70,-135
-40,90,-135
-30,-70,-135
-30,90,-135
-20,-80,-135
-20,100,-135
-10,-80,-135
-10,100,-135
0,-80,-135
0,100,-135
10,-80,-135
10,100,-135
20,-80,-135
20,100,-135
30,-80,-135
30,100,-135
40,-80,-135
40,100,-135
50,-70,-135
50,90,-135
60,-70,-135
60,-60,-135
60,80,-135
60,90,-135
70,-60,-135
70,80,-135
80,-50,-135
80,-30,-135
80,-20,-135
80,-10,-135
80,0,-135
80,10,-135
80,20,-135
80,30,-135
80,40,-135
80,50,-135
80,70,-135
90,-40,-135
90,60,-135
-250,-20,-135
-260,-20,-145
-250,-30,-145
-250,-10,-135
-260,-10,-145
-250,0,-145
-250,30,-135
-260,30,-145
-250,20,-145
-250,40,-135
-260,40,-145
-250,50,-145
-240,-20,-135
-240,-30,-145
-240,0,-145
-240,20,-145
-240,40,-135
-240,50,-145
-230,-30,-145
-230,0,-145
-230,20,-145
-230,50,-145
-220,-40,-145
-220,10,-145
-220,60,-145
-210,-40,-145
-210,10,-145
-210,60,-145
-200,-40,-145
-200,10,-145
-200,60,-145
-190,-50,-145
-190,70,-145
-180,-50,-145
-180,70,-145
-170,-50,-145
-170,70,-145
-160,-50,-135
-160,-60,-145
-160,70,-135
-160,80,-145
-150,-60,-145
-150,80,-145
-140,-60,-145
-140,80,-145
-130,-60,-145
-130,80,-145
-120,-60,-145
-120,80,-145
-110,-70,-145
-110,90,-145
-100,-70,-145
-100,90,-145
-90,-70,-145
-90,90,-145
-80,-70,-145
-80,90,-145
-70,-70,-145
-70,90,-145
-60,-80,-145
-60,90,-145
-50,-80,-145
-50,100,-145
-40,-80,-145
-40,100,-145
-30,-80,-145
-30,100,-145
-20,-80,-145
-20,100,-145
-10,-80,-145
-10,100,-145
0,-80,-145
0,100,-145
10,-80,-145
10,100,-145
20,-80,-145
20,100,-145
30,-70,-145
30,90,-145
40,-70,-145
40,90,-145
50,-60,-145
50,80,-145
60,-60,-145
60,80,-145
70,-50,-145
70,70,-145
80,-40,-145
80,-30,-145
80,-20,-145
80,-10,-145
80,0,-145
80,10,-145
80,20,-145
80,30,-145
80,40,-145
80,50,-145
80,60,-145
-280,-20,-145
-290,-20,-155
-280,-30,-155
-280,-10,-155
-280,40,-145
-290,40,-155
-280,30,-155
-280,50,-155
-270,-20,-145
-270,-30,-155
-270,-10,-155
-270,30,-145
-270,20,-155
-270,40,-145
-270,50,-155
-260,-30,-155
-260,0,-155
-260,20,-155
-260,50,-155
