1,2,3
378,341,379
342,340,380
380,340,377
341,343,379
379,343,381
344,342,382
382,342,380
346,384,343
343,384,381
344,382,347
347,382,348
348,382,385
348,385,349
349,385,386
349,386,350
350,386,387
350,387,388
351,391,345
345,391,383
351,345,392
392,345,383
352,395,396
352,396,353
353,396,397
353,397,354
354,397,398
354,398,346
346,398,384
350,388,355
355,388,356
356,388,389
356,389,357
357,389,390
357,390,358
358,390,391
358,391,351
351,392,359
359,392,360
360,392,393
360,393,361
361,393,394
361,394,362
362,394,395
362,395,352
363,364,399
364,365,399
399,365,400
365,366,400
400,366,401
366,367,401
401,367,402
367,368,402
402,368,403
368,369,403
370,371,404
404,371,405
371,363,405
405,363,406
406,363,399
403,369,407
369,372,407
407,372,408
372,373,408
374,375,409
375,370,409
409,370,404
408,373,410
373,376,410
410,376,411
377,374,412
412,374,413
413,374,409
376,378,411
411,378,415
378,379,415
380,377,416
416,377,412
415,379,418
379,381,418
418,381,419
380,416,382
382,416,420
383,421,417
383,417,421
384,422,381
381,422,419
382,420,385
385,420,423
385,423,386
386,423,424
386,424,387
387,424,425
387,425,388
388,425,426
388,426,389
389,426,427
389,427,390
390,427,428
390,428,391
391,428,429
391,429,383
383,429,421
383,421,392
392,421,430
392,430,393
393,430,431
393,431,394
394,431,432
394,432,395
395,432,433
395,433,396
396,433,434
396,434,397
397,434,435
397,435,398
398,435,436
398,436,384
384,436,422
399,400,437
400,401,437
437,401,438
401,402,438
438,402,439
402,403,439
404,405,440
405,406,440
440,406,441
406,399,441
441,399,442
442,399,437
439,403,443
403,407,443
443,407,444
407,408,444
444,408,445
409,404,446
446,404,447
447,404,440
408,410,445
445,410,448
410,411,448
448,411,449
412,413,450
413,409,450
450,409,446
411,415,449
449,415,452
416,412,453
453,412,454
454,412,450
417,455,414
414,455,451
417,414,455
455,414,451
415,418,452
452,418,456
418,419,456
416,453,420
420,453,457
420,457,458
421,464,417
417,464,455
421,417,465
465,417,455
422,471,456
422,456,419
420,458,423
423,458,424
424,458,459
424,459,425
425,459,460
425,460,426
426,460,461
426,461,427
427,461,462
427,462,428
428,462,463
428,463,429
429,463,464
429,464,421
421,465,430
430,465,431
431,465,466
431,466,432
432,466,467
432,467,433
433,467,468
433,468,434
434,468,469
434,469,435
435,469,470
435,470,436
436,470,471
436,471,422
440,441,472
441,442,472
472,442,473
442,437,473
473,437,474
437,438,474
474,438,475
438,439,475
475,439,476
439,443,476
476,443,477
443,444,477
477,444,478
444,445,478
446,447,479
479,447,480
447,440,480
480,440,481
481,440,472
478,445,483
445,448,483
483,448,484
448,449,484
484,449,485
450,446,486
486,446,479
451,487,482
451,482,487
449,452,485
485,452,488
453,454,489
454,450,489
489,450,486
455,490,451
451,490,487
455,451,490
490,451,487
452,456,488
488,456,491
453,489,457
457,489,458
458,489,492
458,492,459
459,492,493
459,493,460
460,493,494
460,494,461
461,494,495
461,495,462
462,495,496
462,496,463
463,496,497
463,497,464
464,497,498
464,498,455
455,498,490
455,490,465
465,490,499
465,499,466
466,499,500
466,500,467
467,500,501
467,501,468
468,501,502
468,502,469
469,502,503
469,503,470
470,503,504
470,504,471
471,504,505
471,505,456
456,505,491
472,473,506
473,474,506
506,474,507
474,475,507
507,475,508
475,476,508
508,476,509
476,477,509
509,477,510
477,478,510
479,480,511
511,480,512
480,481,512
512,481,513
481,472,513
513,472,514
514,472,506
510,478,516
478,483,516
516,483,517
483,484,517
517,484,518
484,485,518
486,479,519
519,479,511
487,520,482
482,520,515
487,482,520
520,482,515
518,485,521
485,488,521
521,488,522
489,486,523
523,486,519
523,519,524
490,529,487
487,529,520
490,487,530
530,487,520
522,488,536
522,536,535
488,491,536
489,523,492
492,523,493
493,523,524
493,524,494
494,524,525
494,525,495
495,525,526
495,526,496
496,526,527
496,527,497
497,527,528
497,528,498
498,528,529
498,529,490
490,530,499
499,530,500
500,530,531
500,531,501
501,531,532
501,532,502
502,532,533
502,533,503
503,533,534
503,534,504
504,534,535
504,535,505
505,535,536
505,536,491
506,507,537
507,508,537
537,508,538
508,509,538
538,509,539
509,510,539
511,512,540
512,513,540
540,513,541
513,514,541
541,514,542
514,506,542
542,506,543
543,506,537
515,544,537
515,537,538
515,538,539
515,539,544
539,510,545
510,516,545
545,516,546
516,517,546
546,517,547
517,518,547
547,518,548
519,511,549
549,511,540
549,540,550
550,540,551
520,554,515
515,554,544
520,515,555
555,515,544
548,518,559
548,559,558
518,521,559
559,521,560
521,522,560
519,549,524
524,549,525
525,549,550
525,550,526
526,550,551
526,551,527
527,551,552
527,552,528
528,552,553
528,553,529
529,553,554
529,554,520
520,555,530
530,555,531
531,555,556
531,556,532
532,556,557
532,557,533
533,557,558
533,558,534
534,558,559
534,559,535
535,559,560
535,560,522
540,541,561
541,542,561
561,542,562
542,543,562
562,543,563
543,537,563
563,537,564
537,544,564
544,539,565
539,545,565
565,545,566
545,546,566
566,546,567
546,547,567
567,547,568
547,548,568
540,561,551
551,561,552
552,561,562
552,562,553
553,562,563
553,563,554
554,563,564
554,564,544
544,565,555
555,565,556
556,565,566
556,566,557
557,566,567
557,567,558
558,567,568
558,568,548
